"PayPal refund","Reembolso PayPal"
"Credentials source","Fuente de usuarios"
"Customize the redirect page","Personalizar la página de redirección"
"Username","Nombre de usuario"
"Signature","Firma"
"Get credentials","Obtener credenciales"
"INCOMPLETE MODULE INSTALLATION","INSTALLACIÓN INCOMPLETA DEL MODULO"
"There is conflict (<em>%s</em>).","Hay un conflicto (<em lang=""en"">%s</em>)."
"Refund completed by %s (ip: %s).","Reembolso efectuado por %s (ip: %s)."
"Invalid response received from PayPal, please try again.","La respuesta recibida por PayPal no es válida, intente de nuevo."
"Below","Más abajo"
"From PayPal configuration","Desde la configuración de PayPal"
