"PayPal refund","Remboursement PayPal"
"Username","Utilisateur"
"Signature","Signature"
"Sandbox","Bac à sable (sandbox)"
"Get credentials","Obtenir les informations d'accès"
"Refund from %s (ip: %s).","Remboursement effectué par %s (ip : %s)."
"%s: %s. %s.","%s : %s. %s."
